COPARTICIPAÇÃO - MEDIDA CERTA 50
Esteja ciente de que os valores apresentados abaixo são APROXIMADOS, podendo haver
mudanças a qualquer momento, sem aviso prévio.
ANESTESIA 	VALOR APROX.
US - PRÓSTATA TRANSRETAL (NÃO INCLUI ABDOME INFERIOR MASCULINO) 	R$ 	48,54
US - TORÁCICO EXTRACARDÍACO 	R$ 	23,38
PROCEDIMENTOS NÃO LISTADOS ACIMA 	VALOR APROX.
TOMOGRAFIA 	R$ 	200,00
RESSONANCIA MAGNÉTICA 	R$ 	200,00
ANGIOTOMOGRAFIA 	R$ 	200,00
COLONOSCOPIA 	R$ 	200,00
CINTILOGRAFIA DO MIOCÁRDIO 	R$ 	200,00

-- 3 of 3 --

